raw_series,selection_class,registry_tcode,embedded_tcodes_seen,n_vintages_checked,n_vintages_hard_fail,n_vintages_with_flags,min_transformed_n_valid,median_transformed_n_valid,min_transformed_observed_fraction,median_transformed_observed_fraction,min_transformed_std,median_transformed_std,min_transformed_n_unique,n_zero_variance_vintages,n_near_zero_variance_vintages,n_vintages_with_nonpositive_log_input,n_vintages_with_zero_ratio_input,total_unexpected_transform_missing,total_unexpected_transform_value,total_inf_after_transform,n_vintages_short_pre_evaluation_history,stage2_hard_fail,stage2_status,hard_failure_reasons,stage2_flags,rank_low_min_transformed_n_valid,rank_low_min_transformed_observed_fraction,rank_low_min_transformed_std
IPNCONGD,ordinary_stable,5,5,198,0,0,611,709.5,0.9962593516,0.9985885667,0.007256772872,0.007558115661,608,0,0,0,0,0,0,0,0,False,pass,,,43,40,37
IPNMAT,ordinary_stable,5,5,198,0,0,611,709.5,0.9962593516,0.9985885667,0.01055635496,0.01084827028,611,0,0,0,0,0,0,0,0,False,pass,,,43,40,48
ISRATIOx,ordinary_stable,2,2,198,0,0,610,708.5,0.9958333333,0.9971530235,0.01736267462,0.01817946673,47,0,0,0,0,0,0,0,0,False,pass,,,17,27,57
M1SL,ordinary_stable,6,6,198,0,0,610,708.5,0.9967320261,0.9971850795,0.007755516249,0.008812627699,610,0,0,0,0,0,0,0,0,False,pass,,,17,69,39
M2REAL,ordinary_stable,5,5,198,0,0,611,709.5,0.99626401,0.9985765117,0.004635611511,0.004802949926,611,0,0,0,0,0,0,0,0,False,pass,,,43,54,23
M2SL,ordinary_stable,6,6,198,0,0,610,708.5,0.9967320261,0.9971850795,0.003161426207,0.0033265712,610,0,0,0,0,0,0,0,0,False,pass,,,17,69,20
MANEMP,ordinary_stable,5,5,198,0,0,611,709.5,0.9975031211,0.9985885667,0.004592408771,0.00489685672,611,0,0,0,0,0,0,0,0,False,pass,,,43,75,22
NDMANEMP,ordinary_stable,5,5,198,0,0,611,709.5,0.9975031211,0.9985885667,0.002997105525,0.003150958295,597,0,0,0,0,0,0,0,0,False,pass,,,43,75,17
NONBORRES,ordinary_stable,7,7,198,0,0,610,708.5,0.9958333333,0.9971811121,0.9596165643,1.068986198,610,0,0,0,0,0,0,0,0,False,pass,,,17,27,108
NONREVSL,ordinary_stable,6,6,198,0,0,609,707.5,0.9944751381,0.9957716681,0.006744821859,0.007625739626,609,0,0,0,0,0,0,0,0,False,pass,,,12,25,36
OILPRICEx,ordinary_stable,6,6,198,0,0,610,708.5,0.9959128065,0.9971811121,0.09055259058,0.09250782845,388,0,0,0,0,0,0,0,0,False,pass,,,17,35,77
PAYEMS,ordinary_stable,5,5,198,0,0,611,709.5,0.9975031211,0.9985885667,0.002175528295,0.002326436907,611,0,0,0,0,0,0,0,0,False,pass,,,43,75,6
PCEPI,ordinary_stable,6,6,198,0,0,609,708.5,0.9944521498,0.9971243695,0.001874782705,0.001900673107,609,0,0,0,0,0,0,0,0,False,pass,,,12,21,4
PERMIT,ordinary_stable,4,4,198,0,0,600,698.5,0.9802130898,0.9829907781,0.2863157528,0.3083841835,481,0,0,0,0,0,0,0,0,False,pass,,,4,4,86
PERMITMW,ordinary_stable,4,4,198,0,0,600,698.5,0.9802130898,0.9829907781,0.3347597935,0.3797638935,253,0,0,0,0,0,0,0,0,False,pass,,,4,4,90
PERMITNE,ordinary_stable,4,4,198,0,0,600,698.5,0.9802130898,0.9829907781,0.3495082763,0.3856131706,218,0,0,0,0,0,0,0,0,False,pass,,,4,4,93
PERMITS,ordinary_stable,4,4,198,0,0,600,698.5,0.9802130898,0.9829907781,0.3485150526,0.3565512939,418,0,0,0,0,0,0,0,0,False,pass,,,4,4,92
